id,price,brand,name,ratingAverage,ratingCount,reviewCount,minPurchaseCount,recommendationRate,complaintRate,ratings
6223490,19290.00,WHIRLPOOL,WHIRLPOOL SP40 801 EU 1,1.2,5,3,100,0.0,0.0232,"[4, 1, 0, 0, 0]"
8008648,15138.79,Bosch,BOSCH KIV87NSE0,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7468591,29990.00,ELECTROLUX,ELECTROLUX ECB7TE70S NoFrost,,0,0,20,,0.0,"[0, 0, 0, 0, 0]"
7333192,17039.32,LIEBHERR,LIEBHERR KGNsfd 52Z03,5.0,1,1,0,1.0,0.0,"[0, 0, 0, 0, 1]"
8134049,28120.56,Bosch,BOSCH KGN39VXAT,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
6697940,4696.59,Nedis,NEDIS KAPC030SS,5.0,1,0,0,1.0,0.0,"[0, 0, 0, 0, 1]"
6977879,39289.95,Bosch,BOSCH KFN96VPEA,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
6447124,7618.24,GUZZANTI,GUZZANTI GZ 8818,,0,0,20,,0.0,"[0, 0, 0, 0, 0]"
8008649,29877.28,Bosch,BOSCH KIF81PFE0,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
6713704,27990.00,HAIER,HAIER HFW7720ENMB,1.0,1,0,20,0.0,0.0,"[1, 0, 0, 0, 0]"
7414238,40890.00,ELECTROLUX,ELECTROLUX ELT9VE52M0 NoFrost,4.5,2,0,0,1.0,0.0,"[0, 0, 0, 1, 1]"
6283940,22467.11,HAIER,HAIER HSR3918EWPG,5.0,3,1,0,1.0,0.0,"[0, 0, 0, 0, 3]"
7763369,18990.00,AEG,AEG 6000 TwinTech RCB636E8MX,3.0,1,1,0,0.0,0.0,"[0, 0, 1, 0, 0]"
7850420,11832.32,BEKO,BEKO Beyond B5RCNA366HG,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
5832974,8570.65,SEVERIN,SEVERIN RKS 8833,5.0,1,1,0,1.0,0.0,"[0, 0, 0, 0, 1]"
6994313,17233.45,SIEMENS,SIEMENS KG39N2IDF,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
6318105,11629.59,LIEBHERR,LIEBHERR CTP 251,,0,0,100,,0.0085,"[0, 0, 0, 0, 0]"
7970866,22971.31,ELECTROLUX,ELECTROLUX 600 TwinTech ENT6ME19S,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7951166,5237.25,GUZZANTI,GUZZANTI GZ 70G,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
5832972,8570.65,SEVERIN,SEVERIN RKS 8834,5.0,1,1,0,1.0,0.0,"[0, 0, 0, 0, 1]"
5832969,8570.65,SEVERIN,SEVERIN RKS 8832,5.0,1,1,0,1.0,0.0,"[0, 0, 0, 0, 1]"
7853701,20458.05,LIEBHERR,LIEBHERR KGNsdc 57Z03,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7763378,20956.85,AEG,AEG 8000 Cooling 360 RCB732D7MX,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7075558,22654.08,LIEBHERR,LIEBHERR CNd 5734,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
6410993,72352.58,LG,LG GMX945MC9F ,5.0,1,0,20,1.0,0.0,"[0, 0, 0, 0, 1]"
7781310,7490.00,Siguro,SIGURO MC-J140S,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
6703356,13590.00,ELECTROLUX,ELECTROLUX LNT3FF18S,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7811728,8989.00,ETA,ETA 275690000E,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
